sample_id	raw_r1	raw_r2
ID_DRTO_202	20098D-04-197_S46_L002_R1_001.fastq.gz	20098D-04-197_S46_L002_R2_001.fastq.gz
ID_CRF_019	20098D-04-198_S47_L002_R1_001.fastq.gz	20098D-04-198_S47_L002_R2_001.fastq.gz
ID_CRF_039	20098D-04-199_S48_L002_R1_001.fastq.gz	20098D-04-199_S48_L002_R2_001.fastq.gz
ID_CRF_040	20098D-04-200_S49_L002_R1_001.fastq.gz	20098D-04-200_S49_L002_R2_001.fastq.gz
ID_CRF_043	20098D-04-201_S115_L002_R1_001.fastq.gz	20098D-04-201_S115_L002_R2_001.fastq.gz
ID_CRF_053	20098D-04-202_S50_L002_R1_001.fastq.gz	20098D-04-202_S50_L002_R2_001.fastq.gz
ID_CRF_076	20098D-04-203_S51_L002_R1_001.fastq.gz	20098D-04-203_S51_L002_R2_001.fastq.gz
ID_CRF_087	20098D-04-204_S52_L002_R1_001.fastq.gz	20098D-04-204_S52_L002_R2_001.fastq.gz
ID_CRF_112	20098D-04-205_S53_L002_R1_001.fastq.gz	20098D-04-205_S53_L002_R2_001.fastq.gz
ID_CRF_119	20098D-04-206_S54_L002_R1_001.fastq.gz	20098D-04-206_S54_L002_R2_001.fastq.gz
ID_CRF_13	20098D-04-208_S55_L002_R1_001.fastq.gz	20098D-04-208_S55_L002_R2_001.fastq.gz
ID_CRF_20	20098D-04-209_S116_L002_R1_001.fastq.gz	20098D-04-209_S116_L002_R2_001.fastq.gz
ID_CRF_23	20098D-04-210_S117_L002_R1_001.fastq.gz	20098D-04-210_S117_L002_R2_001.fastq.gz
ID_FWC_CB024	20098D-04-211_S56_L002_R1_001.fastq.gz	20098D-04-211_S56_L002_R2_001.fastq.gz
ID_CRF_29	20098D-04-212_S57_L002_R1_001.fastq.gz	20098D-04-212_S57_L002_R2_001.fastq.gz
ID_CRF_33	20098D-04-213_S58_L002_R1_001.fastq.gz	20098D-04-213_S58_L002_R2_001.fastq.gz
ID_CRF_42	20098D-04-214_S59_L002_R1_001.fastq.gz	20098D-04-214_S59_L002_R2_001.fastq.gz
ID_CRF_48	20098D-04-215_S60_L002_R1_001.fastq.gz	20098D-04-215_S60_L002_R2_001.fastq.gz
ID_CRF_51	20098D-04-216_S61_L002_R1_001.fastq.gz	20098D-04-216_S61_L002_R2_001.fastq.gz
ID_CRF_52	20098D-04-217_S118_L002_R1_001.fastq.gz	20098D-04-217_S118_L002_R2_001.fastq.gz
ID_CRF_55	20098D-04-218_S119_L002_R1_001.fastq.gz	20098D-04-218_S119_L002_R2_001.fastq.gz
ID_CRF_66	20098D-04-219_S62_L002_R1_001.fastq.gz	20098D-04-219_S62_L002_R2_001.fastq.gz
ID_CRF_68	20098D-04-220_S63_L002_R1_001.fastq.gz	20098D-04-220_S63_L002_R2_001.fastq.gz
ID_CRF_69	20098D-04-221_S64_L002_R1_001.fastq.gz	20098D-04-221_S64_L002_R2_001.fastq.gz
ID_CRF_82	20098D-04-222_S120_L002_R1_001.fastq.gz	20098D-04-222_S120_L002_R2_001.fastq.gz
ID_CRF_85	20098D-04-223_S65_L002_R1_001.fastq.gz	20098D-04-223_S65_L002_R2_001.fastq.gz
ID_CRF_86	20098D-04-224_S66_L002_R1_001.fastq.gz	20098D-04-224_S66_L002_R2_001.fastq.gz
ID_CRF_94	20098D-04-225_S121_L002_R1_001.fastq.gz	20098D-04-225_S121_L002_R2_001.fastq.gz
ID_CRF_95	20098D-04-226_S67_L002_R1_001.fastq.gz	20098D-04-226_S67_L002_R2_001.fastq.gz
ID_FWC_ML3	20098D-04-227_S68_L002_R1_001.fastq.gz	20098D-04-227_S68_L002_R2_001.fastq.gz
ID_FWC_ML34	20098D-04-228_S69_L002_R1_001.fastq.gz	20098D-04-228_S69_L002_R2_001.fastq.gz
ID_FWC_ML41	20098D-04-229_S70_L002_R1_001.fastq.gz	20098D-04-229_S70_L002_R2_001.fastq.gz
ID_FWC_ML7	20098D-04-230_S71_L002_R1_001.fastq.gz	20098D-04-230_S71_L002_R2_001.fastq.gz
ID_FWC_TDT2	20098D-04-231_S72_L002_R1_001.fastq.gz	20098D-04-231_S72_L002_R2_001.fastq.gz
ID_kjs16	20098D-04-232_S73_L002_R1_001.fastq.gz	20098D-04-232_S73_L002_R2_001.fastq.gz
ID_kjs2	20098D-04-233_S122_L002_R1_001.fastq.gz	20098D-04-233_S122_L002_R2_001.fastq.gz
ID_kjs20	20098D-04-234_S123_L002_R1_001.fastq.gz	20098D-04-234_S123_L002_R2_001.fastq.gz
ID_kjs3	20098D-04-235_S74_L002_R1_001.fastq.gz	20098D-04-235_S74_L002_R2_001.fastq.gz
ID_kjs5	20098D-04-236_S75_L002_R1_001.fastq.gz	20098D-04-236_S75_L002_R2_001.fastq.gz
ID_kjs53	20098D-04-237_S76_L002_R1_001.fastq.gz	20098D-04-237_S76_L002_R2_001.fastq.gz
ID_kjs55	20098D-04-238_S77_L002_R1_001.fastq.gz	20098D-04-238_S77_L002_R2_001.fastq.gz
ID_kjs56	20098D-04-239_S78_L002_R1_001.fastq.gz	20098D-04-239_S78_L002_R2_001.fastq.gz
ID_kjs58	20098D-04-240_S79_L002_R1_001.fastq.gz	20098D-04-240_S79_L002_R2_001.fastq.gz
ID_kjs59	20098D-04-241_S124_L002_R1_001.fastq.gz	20098D-04-241_S124_L002_R2_001.fastq.gz
ID_kjs6	20098D-04-242_S125_L002_R1_001.fastq.gz	20098D-04-242_S125_L002_R2_001.fastq.gz
ID_kjs64	20098D-04-243_S80_L002_R1_001.fastq.gz	20098D-04-243_S80_L002_R2_001.fastq.gz
ID_MML_ML1	20098D-04-245_S81_L002_R1_001.fastq.gz	20098D-04-245_S81_L002_R2_001.fastq.gz
ID_MML_ML10	20098D-04-246_S82_L002_R1_001.fastq.gz	20098D-04-246_S82_L002_R2_001.fastq.gz
ID_MML_ML13	20098D-04-247_S83_L002_R1_001.fastq.gz	20098D-04-247_S83_L002_R2_001.fastq.gz
ID_MML_ML20	20098D-04-248_S84_L002_R1_001.fastq.gz	20098D-04-248_S84_L002_R2_001.fastq.gz
ID_MML_ML29	20098D-04-249_S126_L002_R1_001.fastq.gz	20098D-04-249_S126_L002_R2_001.fastq.gz
ID_FWC_ML31	20098D-04-250_S127_L002_R1_001.fastq.gz	20098D-04-250_S127_L002_R2_001.fastq.gz
ID_ML36	20098D-04-251_S85_L002_R1_001.fastq.gz	20098D-04-251_S85_L002_R2_001.fastq.gz
ID_MML_ML4	20098D-04-252_S86_L002_R1_001.fastq.gz	20098D-04-252_S86_L002_R2_001.fastq.gz
ID_MML_ML44	20098D-04-253_S87_L002_R1_001.fastq.gz	20098D-04-253_S87_L002_R2_001.fastq.gz
ID_ML46	20098D-04-254_S88_L002_R1_001.fastq.gz	20098D-04-254_S88_L002_R2_001.fastq.gz
ID_MML_ML48	20098D-04-255_S89_L002_R1_001.fastq.gz	20098D-04-255_S89_L002_R2_001.fastq.gz
ID_MML_ML5	20098D-04-256_S90_L002_R1_001.fastq.gz	20098D-04-256_S90_L002_R2_001.fastq.gz
ID_MML_ML50	20098D-04-257_S128_L002_R1_001.fastq.gz	20098D-04-257_S128_L002_R2_001.fastq.gz
ID_MML_ML51	20098D-04-258_S129_L002_R1_001.fastq.gz	20098D-04-258_S129_L002_R2_001.fastq.gz
